stock.id,species,run,stock,region,sub.region,broodYr,spawn,rec
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1980,238038,545500
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1981,214728,318386
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1982,104503,280870
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1983,172143,319246
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1984,108151,503626
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1985,170739,939836
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1986,98921,870243
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1987,83395,1088611
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1988,140660,690272
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1989,204804,1069218
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1990,262946,1188080
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1991,173913,376415
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1992,195830,503964
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1993,197988,540820
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1994,204441,787727
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1995,107961,713745
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1996,119629,503017
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1997,145311,348670
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1998,193420,226082
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,1999,127890,114120
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2000,90947,740756
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2001,122505,401742
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2002,95520,1042167
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2003,139799,903429
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2004,80435,293118
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2005,221752,457637
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2006,182005,150731
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2007,224767,117462
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2008,195474,318351
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2009,133263,519639
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2010,142966,515426
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2011,132549,235880
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2012,116442,17271
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2013,196926,43355
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2014,206954,0
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2015,201664,0
NA,Sockeye,NA,Bear,AK Peninsula,AK Peninsula,2016,139720,0
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1981,251000,188646
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1982,179600,337539
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1983,128800,273580
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1984,251000,704171
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1985,314000,547610
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1986,117500,554509
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1987,155700,530288
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1988,142900,671751
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1989,206800,632332
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1990,269200,719453
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1991,279200,667405
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1992,179700,420384
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1993,262200,255474
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1994,333400,486611
NA,Sockeye,NA,Nelson,AK Peninsula,AK Peninsula,1995,338700,320842
