"SourceReport","BY","Species","Stock","Region","Area","Spawners","Recruits"
"FMS13-11",1976,"sockeye","Ayakulik River","KodiakMgmtArea","AK",219047,836328
"FMS13-11",1977,"sockeye","Ayakulik River","KodiakMgmtArea","AK",306982,287349
"FMS13-11",1978,"sockeye","Ayakulik River","KodiakMgmtArea","AK",132864,122273
"FMS13-11",1979,"sockeye","Ayakulik River","KodiakMgmtArea","AK",222270,254511
"FMS13-11",1980,"sockeye","Ayakulik River","KodiakMgmtArea","AK",774328,1152537
"FMS13-11",1981,"sockeye","Ayakulik River","KodiakMgmtArea","AK",279200,1091984
"FMS13-11",1982,"sockeye","Ayakulik River","KodiakMgmtArea","AK",169678,240476
"FMS13-11",1983,"sockeye","Ayakulik River","KodiakMgmtArea","AK",171415,382085
"FMS13-11",1984,"sockeye","Ayakulik River","KodiakMgmtArea","AK",283215,604316
"FMS13-11",1985,"sockeye","Ayakulik River","KodiakMgmtArea","AK",388759,1786779
"FMS13-11",1986,"sockeye","Ayakulik River","KodiakMgmtArea","AK",318135,1730211
"FMS13-11",1987,"sockeye","Ayakulik River","KodiakMgmtArea","AK",261913,1015566
"FMS13-11",1988,"sockeye","Ayakulik River","KodiakMgmtArea","AK",291774,325535
"FMS13-11",1989,"sockeye","Ayakulik River","KodiakMgmtArea","AK",768101,752667
"FMS13-11",1990,"sockeye","Ayakulik River","KodiakMgmtArea","AK",371282,600475
"FMS13-11",1991,"sockeye","Ayakulik River","KodiakMgmtArea","AK",384859,1265306
"FMS13-11",1992,"sockeye","Ayakulik River","KodiakMgmtArea","AK",344184,582035
"FMS13-11",1993,"sockeye","Ayakulik River","KodiakMgmtArea","AK",286170,772671
"FMS13-11",1994,"sockeye","Ayakulik River","KodiakMgmtArea","AK",380181,1454921
"FMS13-11",1995,"sockeye","Ayakulik River","KodiakMgmtArea","AK",317832,683795
"FMS13-11",1996,"sockeye","Ayakulik River","KodiakMgmtArea","AK",337155,482559
"FMS13-11",1997,"sockeye","Ayakulik River","KodiakMgmtArea","AK",308214,91802
"FMS13-11",1998,"sockeye","Ayakulik River","KodiakMgmtArea","AK",427208,212288
"FMS13-11",1999,"sockeye","Ayakulik River","KodiakMgmtArea","AK",295717,474025
"FMS13-11",2000,"sockeye","Ayakulik River","KodiakMgmtArea","AK",208651,291390
"FMS13-11",2001,"sockeye","Ayakulik River","KodiakMgmtArea","AK",218892,194605
"FMS13-11",2002,"sockeye","Ayakulik River","KodiakMgmtArea","AK",229292,313392
"FMS13-11",2003,"sockeye","Ayakulik River","KodiakMgmtArea","AK",197892,233520
"FMS13-11",2004,"sockeye","Ayakulik River","KodiakMgmtArea","AK",275238,298131
"FMS13-11",2005,"sockeye","Ayakulik River","KodiakMgmtArea","AK",251906,491729
"FMS13-11",2006,"sockeye","Ayakulik River","KodiakMgmtArea","AK",87780,NA
"FMS13-11",2007,"sockeye","Ayakulik River","KodiakMgmtArea","AK",283042,NA
"FMS13-11",2008,"sockeye","Ayakulik River","KodiakMgmtArea","AK",162888,NA
"FMS13-11",2009,"sockeye","Ayakulik River","KodiakMgmtArea","AK",315184,NA
"FMS13-11",2010,"sockeye","Ayakulik River","KodiakMgmtArea","AK",262327,NA
"FMS13-11",2011,"sockeye","Ayakulik River","KodiakMgmtArea","AK",261141,NA
"FMS13-11",2012,"sockeye","Ayakulik River","KodiakMgmtArea","AK",328254,NA
"FMS13-11",1997,"sockeye","Buskin River","KodiakMgmtArea","AK",9798,17531
"FMS13-11",1998,"sockeye","Buskin River","KodiakMgmtArea","AK",14746,22740
"FMS13-11",1999,"sockeye","Buskin River","KodiakMgmtArea","AK",10809,20261
"FMS13-11",2000,"sockeye","Buskin River","KodiakMgmtArea","AK",11223,20579
"FMS13-11",2001,"sockeye","Buskin River","KodiakMgmtArea","AK",20556,31643
"FMS13-11",2002,"sockeye","Buskin River","KodiakMgmtArea","AK",17174,32744
"FMS13-11",2003,"sockeye","Buskin River","KodiakMgmtArea","AK",23870,37544
"FMS13-11",2004,"sockeye","Buskin River","KodiakMgmtArea","AK",22023,33921
"FMS13-11",2005,"sockeye","Buskin River","KodiakMgmtArea","AK",15468,25247
"FMS13-11",2006,"sockeye","Buskin River","KodiakMgmtArea","AK",17734,26894
"FMS13-11",2007,"sockeye","Buskin River","KodiakMgmtArea","AK",16502,29192
"FMS13-11",2008,"sockeye","Buskin River","KodiakMgmtArea","AK",5900,9724
"FMS13-11",2009,"sockeye","Buskin River","KodiakMgmtArea","AK",7757,10305
"FMS13-11",2010,"sockeye","Buskin River","KodiakMgmtArea","AK",9800,10132
"FMS13-11",2011,"sockeye","Buskin River","KodiakMgmtArea","AK",11982,13259
"FMS13-11",2012,"sockeye","Buskin River","KodiakMgmtArea","AK",8565,10049
"FMS13-11",1966,"sockeye","Frazer Lake","KodiakMgmtArea","AK",16456,39910
"FMS13-11",1967,"sockeye","Frazer Lake","KodiakMgmtArea","AK",21834,95202
"FMS13-11",1968,"sockeye","Frazer Lake","KodiakMgmtArea","AK",16738,57910
"FMS13-11",1969,"sockeye","Frazer Lake","KodiakMgmtArea","AK",14041,65984
"FMS13-11",1970,"sockeye","Frazer Lake","KodiakMgmtArea","AK",24039,104005
"FMS13-11",1971,"sockeye","Frazer Lake","KodiakMgmtArea","AK",55366,121419
"FMS13-11",1972,"sockeye","Frazer Lake","KodiakMgmtArea","AK",66419,194066
"FMS13-11",1973,"sockeye","Frazer Lake","KodiakMgmtArea","AK",56255,61415
"FMS13-11",1974,"sockeye","Frazer Lake","KodiakMgmtArea","AK",82609,209026
"FMS13-11",1975,"sockeye","Frazer Lake","KodiakMgmtArea","AK",64199,299631
"FMS13-11",1976,"sockeye","Frazer Lake","KodiakMgmtArea","AK",119321,709424
"FMS13-11",1977,"sockeye","Frazer Lake","KodiakMgmtArea","AK",139548,425466
"FMS13-11",1978,"sockeye","Frazer Lake","KodiakMgmtArea","AK",141981,235043
"FMS13-11",1979,"sockeye","Frazer Lake","KodiakMgmtArea","AK",126742,59106
"FMS13-11",1980,"sockeye","Frazer Lake","KodiakMgmtArea","AK",405535,761264
"FMS13-11",1981,"sockeye","Frazer Lake","KodiakMgmtArea","AK",377716,29471
"FMS13-11",1982,"sockeye","Frazer Lake","KodiakMgmtArea","AK",430423,80172
"FMS13-11",1983,"sockeye","Frazer Lake","KodiakMgmtArea","AK",158340,1038092
"FMS13-11",1984,"sockeye","Frazer Lake","KodiakMgmtArea","AK",53524,503856
"FMS13-11",1985,"sockeye","Frazer Lake","KodiakMgmtArea","AK",485835,160412
"FMS13-11",1986,"sockeye","Frazer Lake","KodiakMgmtArea","AK",126529,2227031
"FMS13-11",1987,"sockeye","Frazer Lake","KodiakMgmtArea","AK",40544,385701
"FMS13-11",1988,"sockeye","Frazer Lake","KodiakMgmtArea","AK",246704,364652
"FMS13-11",1989,"sockeye","Frazer Lake","KodiakMgmtArea","AK",360373,1375543
"FMS13-11",1990,"sockeye","Frazer Lake","KodiakMgmtArea","AK",226707,704000
"FMS13-11",1991,"sockeye","Frazer Lake","KodiakMgmtArea","AK",190358,498970
"FMS13-11",1992,"sockeye","Frazer Lake","KodiakMgmtArea","AK",185825,551819
"FMS13-11",1993,"sockeye","Frazer Lake","KodiakMgmtArea","AK",178391,497344
"FMS13-11",1994,"sockeye","Frazer Lake","KodiakMgmtArea","AK",206071,305309
"FMS13-11",1995,"sockeye","Frazer Lake","KodiakMgmtArea","AK",196323,608857
"FMS13-11",1996,"sockeye","Frazer Lake","KodiakMgmtArea","AK",198695,251259
"FMS13-11",1997,"sockeye","Frazer Lake","KodiakMgmtArea","AK",205264,53837
"FMS13-11",1998,"sockeye","Frazer Lake","KodiakMgmtArea","AK",233755,326394
"FMS13-11",1999,"sockeye","Frazer Lake","KodiakMgmtArea","AK",216565,867981
"FMS13-11",2000,"sockeye","Frazer Lake","KodiakMgmtArea","AK",158044,506309
"FMS13-11",2001,"sockeye","Frazer Lake","KodiakMgmtArea","AK",154349,181739
"FMS13-11",2002,"sockeye","Frazer Lake","KodiakMgmtArea","AK",85317,174694
"FMS13-11",2003,"sockeye","Frazer Lake","KodiakMgmtArea","AK",201679,373528
"FMS13-11",2004,"sockeye","Frazer Lake","KodiakMgmtArea","AK",120664,489822
"FMS13-11",2005,"sockeye","Frazer Lake","KodiakMgmtArea","AK",136948,158805
"FMS13-11",2006,"sockeye","Frazer Lake","KodiakMgmtArea","AK",89516,NA
"FMS13-11",2007,"sockeye","Frazer Lake","KodiakMgmtArea","AK",120186,NA
"FMS13-11",2008,"sockeye","Frazer Lake","KodiakMgmtArea","AK",105363,NA
"FMS13-11",2009,"sockeye","Frazer Lake","KodiakMgmtArea","AK",101845,NA
"FMS13-11",2010,"sockeye","Frazer Lake","KodiakMgmtArea","AK",94680,NA
"FMS13-11",2011,"sockeye","Frazer Lake","KodiakMgmtArea","AK",134642,NA
"FMS13-11",2012,"sockeye","Frazer Lake","KodiakMgmtArea","AK",148884,NA
"FMS13-11",1976,"sockeye","Karluk Lake-early","KodiakMgmtArea","AK",204037,NA
