"Year","avg","std","name"
1900,0.454166666666667,0.516194677654038,"pdo"
1901,-0.129166666666667,-0.221260016128014,"pdo"
1902,0.7675,0.91231319888554,"pdo"
1903,0.163333333333333,0.148520837468415,"pdo"
1904,-0.2525,-0.377179008527648,"pdo"
1905,0.641666666666667,0.753233686369697,"pdo"
1906,0.485833333333333,0.556227932459349,"pdo"
1907,0.118333333333333,0.0916314753766566,"pdo"
1908,0.378333333333333,0.420325567462371,"pdo"
1909,-0.116666666666667,-0.20545741554697,"pdo"
1910,-0.0758333333333333,-0.153835586982226,"pdo"
1911,-0.156666666666667,-0.256025737406311,"pdo"
1912,0.1525,0.134825250298177,"pdo"
1913,0.574166666666667,0.66789964323206,"pdo"
1914,0.16,0.144306810646803,"pdo"
1915,0.1775,0.166430451460265,"pdo"
1916,-0.509166666666667,-0.70165907379175,"pdo"
1917,-0.425,-0.595254896546054,"pdo"
1918,-0.135833333333333,-0.229688069771237,"pdo"
1919,-0.100833333333333,-0.185440788144314,"pdo"
1920,-0.906666666666667,-1.20418177226895,"pdo"
1921,-0.0975,-0.181226761322702,"pdo"
1922,-0.196666666666667,-0.306594059265651,"pdo"
1923,0.4825,0.552013905637737,"pdo"
1924,0.136666666666667,0.114808622895521,"pdo"
1925,0.190833333333333,0.183286558746712,"pdo"
1926,1.16,1.40851485713032,"pdo"
1927,0.140833333333333,0.120076156422536,"pdo"
1928,0.155833333333333,0.139039277119788,"pdo"
1929,0.400833333333333,0.44877024850825,"pdo"
1930,-0.104166666666667,-0.189654814965926,"pdo"
1931,0.738333333333333,0.875440464196437,"pdo"
1932,-0.0208333333333333,-0.0843041444256328,"pdo"
1933,-0.68,-0.917627948399351,"pdo"
1934,1.1825,1.4369595381762,"pdo"
1935,0.798333333333333,0.951292946985448,"pdo"
1936,1.73083333333333,2.13016695033133,"pdo"
1937,0.324166666666667,0.35184763161118,"pdo"
1938,0.155,0.137985770414386,"pdo"
1939,0.065,0.024207046230869,"pdo"
1940,1.76916666666667,2.17862825877986,"pdo"
1941,1.99416666666667,2.46307506923865,"pdo"
1942,0.465833333333333,0.530943771529679,"pdo"
1943,0.114166666666667,0.0863639418496419,"pdo"
1944,-0.126666666666667,-0.218099496011805,"pdo"
1945,-0.19,-0.298166005622428,"pdo"
1946,-0.583333333333333,-0.795421170572611,"pdo"
1947,0.5,0.574137546451199,"pdo"
1948,-0.874166666666667,-1.16309501075823,"pdo"
1949,-1.22833333333333,-1.61083536055448,"pdo"
1950,-1.81,-2.34618304092572,"pdo"
1951,-0.769166666666667,-1.03035316587746,"pdo"
1952,-0.865833333333333,-1.1525599437042,"pdo"
1953,-0.156666666666667,-0.256025737406311,"pdo"
1954,-0.290833333333333,-0.425640316976182,"pdo"
1955,-1.94833333333333,-2.52106515402261,"pdo"
1956,-1.80416666666667,-2.3388084939879,"pdo"
1957,0.2275,0.22964085378444,"pdo"
1958,0.643333333333333,0.755340699780503,"pdo"
1959,-0.0266666666666667,-0.0916786913634533,"pdo"
1960,0.0575,0.0147254858822427,"pdo"
1961,-0.8175,-1.09145655479083,"pdo"
