Year,Covar,value,mean,sd,std
1950,PDO_Jeff,-1.56,0.059652174,0.996238285,-1.625767849
1951,PDO_Jeff,-1.544,0.059652174,0.996238285,-1.609707434
1952,PDO_Jeff,-1.012,0.059652174,0.996238285,-1.075698645
1953,PDO_Jeff,-0.496,0.059652174,0.996238285,-0.557750271
1954,PDO_Jeff,-0.682,0.059652174,0.996238285,-0.744452592
1955,PDO_Jeff,-0.472,0.059652174,0.996238285,-0.533659649
1956,PDO_Jeff,-2.722,0.059652174,0.996238285,-2.792155467
1957,PDO_Jeff,-1.172,0.059652174,0.996238285,-1.236302793
1958,PDO_Jeff,0.05,0.059652174,0.996238285,-0.00968862
1959,PDO_Jeff,-0.002,0.059652174,0.996238285,-0.061884968
1960,PDO_Jeff,0.356,0.059652174,0.996238285,0.297466811
1961,PDO_Jeff,0.328,0.059652174,0.996238285,0.269361086
1962,PDO_Jeff,-1.68,0.059652174,0.996238285,-1.746220959
1963,PDO_Jeff,-0.472,0.059652174,0.996238285,-0.533659649
1964,PDO_Jeff,-0.846,0.059652174,0.996238285,-0.909071843
1965,PDO_Jeff,-0.936,0.059652174,0.996238285,-0.999411676
1966,PDO_Jeff,-0.534,0.059652174,0.996238285,-0.595893756
1967,PDO_Jeff,-0.61,0.059652174,0.996238285,-0.672180726
1968,PDO_Jeff,-0.422,0.059652174,0.996238285,-0.483470853
1969,PDO_Jeff,-0.884,0.059652174,0.996238285,-0.947215328
1970,PDO_Jeff,0.78,0.059652174,0.996238285,0.723067801
1971,PDO_Jeff,-1.418,0.059652174,0.996238285,-1.483231669
1972,PDO_Jeff,-1.806,0.059652174,0.996238285,-1.872696725
1973,PDO_Jeff,-0.266,0.059652174,0.996238285,-0.32688181
1974,PDO_Jeff,-1.268,0.059652174,0.996238285,-1.332665281
1975,PDO_Jeff,-0.35,0.059652174,0.996238285,-0.411198987
1976,PDO_Jeff,-1.528,0.059652174,0.996238285,-1.59364702
1977,PDO_Jeff,1.19,0.059652174,0.996238285,1.134615928
1978,PDO_Jeff,0.344,0.059652174,0.996238285,0.2854215
1979,PDO_Jeff,-0.422,0.059652174,0.996238285,-0.483470853
1980,PDO_Jeff,0.472,0.059652174,0.996238285,0.413904818
1981,PDO_Jeff,0.662,0.059652174,0.996238285,0.604622243
1982,PDO_Jeff,0.44,0.059652174,0.996238285,0.381783989
1983,PDO_Jeff,0.764,0.059652174,0.996238285,0.707007386
1984,PDO_Jeff,1.438,0.059652174,0.996238285,1.383552356
1985,PDO_Jeff,0.862,0.059652174,0.996238285,0.805377426
1986,PDO_Jeff,0.908,0.059652174,0.996238285,0.851551119
1987,PDO_Jeff,1.854,0.059652174,0.996238285,1.801123138
1988,PDO_Jeff,1.266,0.059652174,0.996238285,1.210902898
1989,PDO_Jeff,-0.65,0.059652174,0.996238285,-0.712331763
1990,PDO_Jeff,-0.456,0.059652174,0.996238285,-0.517599235
1991,PDO_Jeff,-1.574,0.059652174,0.996238285,-1.639820712
1992,PDO_Jeff,0.308,0.059652174,0.996238285,0.249285567
1993,PDO_Jeff,0.492,0.059652174,0.996238285,0.433980336
1994,PDO_Jeff,0.982,0.059652174,0.996238285,0.925830537
1995,PDO_Jeff,-0.606,0.059652174,0.996238285,-0.668165622
1996,PDO_Jeff,0.446,0.059652174,0.996238285,0.387806644
1997,PDO_Jeff,0.244,0.059652174,0.996238285,0.185043909
1998,PDO_Jeff,1.238,0.059652174,0.996238285,1.182797172
1999,PDO_Jeff,-0.454,0.059652174,0.996238285,-0.515591683
2000,PDO_Jeff,-1.244,0.059652174,0.996238285,-1.308574659
2001,PDO_Jeff,0.266,0.059652174,0.996238285,0.207126979
2002,PDO_Jeff,-0.598,0.059652174,0.996238285,-0.660135415
2003,PDO_Jeff,1.792,0.059652174,0.996238285,1.738889031
2004,PDO_Jeff,0.474,0.059652174,0.996238285,0.41591237
