"species","region","sub.region","stock","broodYr","covYr","covar","mean","low.95","low.50","med","high.50","high.95"
"Sockeye","AK Peninsula","AK Peninsula","Bear",1980,1982,"PDO",-0.257383271946146,-1.00868781240578,-0.478372348063259,-0.254593134160693,-0.0306273105279749,0.488444640101342
"Sockeye","AK Peninsula","AK Peninsula","Bear",1981,1983,"PDO",-0.268241014675278,-0.834506431181056,-0.446183383689371,-0.268323251563744,-0.0864339858558437,0.300998497644042
"Sockeye","AK Peninsula","AK Peninsula","Bear",1982,1984,"PDO",-0.283681219363352,-0.993139521515787,-0.470077015126227,-0.261713683410643,-0.0700893024425028,0.302294004668158
"Sockeye","AK Peninsula","AK Peninsula","Bear",1983,1985,"PDO",-0.213925193158226,-0.921115696010896,-0.389040689884068,-0.194052831869358,-0.0130610916267685,0.379680795218309
"Sockeye","AK Peninsula","AK Peninsula","Bear",1984,1986,"PDO",-0.0925406412203089,-0.616611116721135,-0.262087773222143,-0.0932296222663876,0.0751362240190583,0.445241529796296
"Sockeye","AK Peninsula","AK Peninsula","Bear",1985,1987,"PDO",0.00470646048855069,-0.454988677201801,-0.161691029167208,-0.00543923736280098,0.161965179397913,0.520678669444181
"Sockeye","AK Peninsula","AK Peninsula","Bear",1986,1988,"PDO",-0.000459194265648446,-0.572439909836456,-0.196402117616278,-0.0166370521820587,0.172379641167469,0.673172639956541
"Sockeye","AK Peninsula","AK Peninsula","Bear",1987,1989,"PDO",-0.0340342440451306,-0.758276556445696,-0.224551326822307,-0.0319549049658157,0.158532372055733,0.65480373122745
"Sockeye","AK Peninsula","AK Peninsula","Bear",1988,1990,"PDO",-0.0325142791351591,-0.779134849667021,-0.221721358312688,-0.0246469683161622,0.165010300004621,0.660380948583377
"Sockeye","AK Peninsula","AK Peninsula","Bear",1989,1991,"PDO",-0.022179765939228,-0.743209268065918,-0.205781538231048,-0.0140115128034357,0.1757528061218,0.636790835958406
"Sockeye","AK Peninsula","AK Peninsula","Bear",1990,1992,"PDO",0.0593015566629039,-0.547321019225804,-0.139421003683281,0.0433936841683118,0.237069331038873,0.769226321778216
"Sockeye","AK Peninsula","AK Peninsula","Bear",1991,1993,"PDO",-0.0280127019461131,-0.702066979255031,-0.207298745243864,-0.0128886873841725,0.16707280122471,0.559148008336215
"Sockeye","AK Peninsula","AK Peninsula","Bear",1992,1994,"PDO",0.00771925309264689,-0.751422539208928,-0.182902008573284,0.0184226856786198,0.213225429588808,0.694990114169453
"Sockeye","AK Peninsula","AK Peninsula","Bear",1993,1995,"PDO",0.0393787068128614,-0.713550059127077,-0.148097232634821,0.0496488809138552,0.243837677515568,0.723457198244899
"Sockeye","AK Peninsula","AK Peninsula","Bear",1994,1996,"PDO",0.0881061708990346,-0.600711753120464,-0.10163037685148,0.0854284336742587,0.280844563503594,0.769615519196711
"Sockeye","AK Peninsula","AK Peninsula","Bear",1995,1997,"PDO",0.110658805313364,-0.473144733244855,-0.0707170780964573,0.110006847813395,0.298247727756002,0.696481903441913
"Sockeye","AK Peninsula","AK Peninsula","Bear",1996,1998,"PDO",0.153350938879505,-0.538014692359856,-0.0474875532099898,0.151347591571944,0.352944742958443,0.841180776999511
"Sockeye","AK Peninsula","AK Peninsula","Bear",1997,1999,"PDO",0.203252069252456,-0.472549753960018,-0.00903803712862491,0.193645885242423,0.40898600834605,0.910863032739986
"Sockeye","AK Peninsula","AK Peninsula","Bear",1998,2000,"PDO",0.28399040831328,-0.445909198098433,0.0341472239424329,0.253455097156394,0.49989513399213,1.20309792010452
"Sockeye","AK Peninsula","AK Peninsula","Bear",1999,2001,"PDO",0.351861309061486,-0.385143218413281,0.0813127451818762,0.30328305200101,0.570848833448783,1.4076250362106
"Sockeye","AK Peninsula","AK Peninsula","Bear",2000,2002,"PDO",0.327940347100877,-0.403751002563512,0.0734880629151505,0.301984556472101,0.548547941790404,1.22525171772543
"Sockeye","AK Peninsula","AK Peninsula","Bear",2001,2003,"PDO",0.273303543190939,-0.452016198537936,0.0476258353620808,0.268534973252786,0.498102487850987,1.00371412328355
