"species","region","sub.region","stock","broodYr","covYr","covar","mean","low.95","low.50","med","high.50","high.95"
"Sockeye","AK Peninsula","AK Peninsula","Bear",1980,1982,"PDO",-0.142437484787395,-0.87973438979653,-0.323882020194366,-0.10727221386841,0.0685314197000366,0.432531844459017
"Sockeye","AK Peninsula","AK Peninsula","Bear",1981,1983,"PDO",-0.157685411177314,-0.735217768451314,-0.32669259175115,-0.13822864555981,0.027723967860778,0.341187060672274
"Sockeye","AK Peninsula","AK Peninsula","Bear",1982,1984,"PDO",-0.159072622463974,-0.792454150637317,-0.332257035810356,-0.130805439668017,0.0272957265699078,0.35488064241373
"Sockeye","AK Peninsula","AK Peninsula","Bear",1983,1985,"PDO",-0.12564256607765,-0.806834100218631,-0.286208150803145,-0.093735219957324,0.0632354662334967,0.383527768002823
"Sockeye","AK Peninsula","AK Peninsula","Bear",1984,1986,"PDO",-0.0449883208823757,-0.539604722583728,-0.19487925626258,-0.0301493786843981,0.104191978282493,0.442018423386343
"Sockeye","AK Peninsula","AK Peninsula","Bear",1985,1987,"PDO",0.0351663957154851,-0.407333953580106,-0.117527767444948,0.0332508546199958,0.185722624267928,0.494156028258071
"Sockeye","AK Peninsula","AK Peninsula","Bear",1986,1988,"PDO",0.0343817134397432,-0.511343000018985,-0.128624788230181,0.0266688547680386,0.190918849514802,0.613051339200457
"Sockeye","AK Peninsula","AK Peninsula","Bear",1987,1989,"PDO",0.00454722301280927,-0.640022974864633,-0.159680724049767,0.007698627781019,0.18314292688377,0.575022785374848
"Sockeye","AK Peninsula","AK Peninsula","Bear",1988,1990,"PDO",0.00107394851388776,-0.679062268928969,-0.176249397521978,0.00766559194654284,0.187413991810354,0.609219660773887
"Sockeye","AK Peninsula","AK Peninsula","Bear",1989,1991,"PDO",0.0132355163325715,-0.603468503292687,-0.155531549928042,0.0171431810272102,0.181349611830176,0.569835323752223
